,Unnamed: 0,Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star color,BV,log_lum,log_temp,log_temp_s,log_lum_s,cluster
14,24,8924,0.00028,0.00879,14.87,blue white,0.1108600486256298,-3.552841968657781,3.9505595616118003,0.504367241706269,0.05177544541101681,White dwarf
15,27,2835,0.00034,0.0918,16.96,red,2.3615738086148363,-3.4685210829577446,3.452553063228925,0.12550588846166422,0.06020778395201987,Main sequence
16,28,3218,0.00054,0.11,20.02,red,1.9538205161989868,-3.2676062401770314,3.5075860397630105,0.16737254688978886,0.08029986384627374,Main sequence
17,29,23092,0.00132,0.0104,10.18,blue,-0.418723772046974,-2.87942606879415,4.363461548826593,0.8184848408571845,0.11911903175266153,White dwarf
18,34,3600,0.0029,0.51,10.69,red,1.6358423584110222,-2.537602002101044,3.5563025007672873,0.20443387922440914,0.1533024517664463,Main sequence
19,35,3042,0.0005,0.1542,16.6,red,2.128100030302566,-3.3010299956639813,3.4831592097169795,0.14878969321866986,0.07695738921216838,Main sequence
20,36,2731,0.000437,0.0856,18.09,red,2.4925798552086955,-3.359518563029578,3.4363217001397333,0.11315778415992472,0.07110835908504809,Main sequence
21,38,2890,0.0034,0.24,13.46,red,2.2961926802585766,-2.468521082957745,3.4608978427565478,0.13185422824162485,0.1602107484725814,Main sequence
22,39,3192,0.00362,0.1967,13.53,red,1.9783217643630235,-2.441291429466834,3.5040628826786917,0.1646922845538703,0.16293379454454016,Main sequence
23,41,16500,0.013,0.014,11.89,blue white,-0.29727486489736493,-1.8860566476931633,4.217483944213907,0.7074315252748473,0.21845891872683432,White dwarf
24,42,18290,0.0013,0.00934,12.78,blue,-0.34000019920860464,-2.886056647693163,4.262213705476417,0.7414599524886505,0.11845595420627275,White dwarf
25,47,6757,1.43,1.12,2.41,yellow white,0.42360288697519743,0.1553360374650618,3.829753918924975,0.4124636432260598,0.4226042389932463,Main sequence
26,54,19360,0.00125,0.00998,11.62,blue,-0.36134190280641054,-2.9030899869919438,4.286905352972375,0.7602442675819958,0.11675256978071008,White dwarf
27,55,3484,0.000551,0.0998,16.67,red,1.7247855748213365,-3.258848401148215,3.5420781463356255,0.19361261848482103,0.08117567371194923,Main sequence
28,58,25000,0.056,0.0084,10.58,blue white,-0.4407744447623935,-1.2518119729937995,4.3979400086720375,0.844714530624791,0.2818852664281499,White dwarf
29,59,3142,0.00132,0.258,14.12,red,2.026613498953927,-2.87942606879415,3.4972061807039547,0.1594760084663509,0.11911903175266153,Main sequence
30,61,3607,0.022,0.38,10.12,red,1.6306645775621957,-1.6575773191777938,3.5571461423183632,0.20507568446336055,0.24130752891003854,Main sequence
31,62,3550,0.004,0.291,10.89,red,1.6734419926394408,-2.3979400086720375,3.550228353055094,0.19981293586418847,0.16726906514019815,Main sequence
32,64,11790,0.00015,0.011,12.59,yellow white,-0.11264823964284751,-3.8239087409443187,4.071513805095089,0.5963838891105873,0.024667964599343006,White dwarf
33,67,8570,0.00081,0.0097,14.2,blue white,0.15015341255043993,-3.0915149811213505,3.932980821923198,0.490994112784489,0.097909511778,White dwarf
34,69,3225,0.00076,0.121,19.63,red,1.9472935469525383,-3.1191864077192086,3.5085297189712867,0.1680904563609249,0.0951422870857011,Main sequence
35,72,3598,0.0011,0.56,14.26,red,1.6373255595123586,-2.958607314841775,3.5560611590095323,0.20425027707215948,0.11120067241346704,Main sequence
36,74,14100,0.00067,0.0089,12.17,blue white,-0.22050008628767262,-3.1739251972991736,4.14921911265538,0.6554986558298488,0.08966824585343736,White dwarf
37,83,3257,0.0024,0.46,10.73,red,1.9178240423312953,-2.619788758288394,3.512817758564873,0.17135260753458992,0.14508353250338268,Main sequence
38,86,18340,0.00134,0.0124,11.22,blue,-0.34105980283839,-2.8728952016351923,4.263399331334003,0.7423619242868202,0.11977213782944729,White dwarf
39,87,3598,0.0027,0.67,13.667,red,1.6373255595123586,-2.5686362358410126,3.5560611590095323,0.20425027707215948,0.15019893639082538,Main sequence
40,89,3158,0.00135,0.161,13.98,red,2.0109888794283055,-2.869666231504994,3.499412125672275,0.16115419398922004,0.12009504441481544,Main sequence
41,90,14520,0.00082,0.00972,11.92,light orange,-0.23600487381268295,-3.0861861476162833,4.161966616364075,0.6651963937534493,0.09844241092594325,White dwarf
42,92,2774,0.00036,0.118,17.39,red,2.4371948011483138,-3.4436974992327127,3.443106456737266,0.11831932738139539,0.06269021591454743,Main sequence
43,95,3295,0.00098,0.132,17.13,red,1.8835951105999968,-3.0087739243075053,3.517855418930029,0.17518503708988087,0.10618386274694874,Main sequence
44,96,5112,0.63,0.876,4.68,light orangish red,0.857913757273956,-0.2006594505464183,3.7085908451503435,0.32028812695751263,0.3870036348361542,Main sequence
45,99,3542,0.0009,0.62,14.23,red,1.679559987966531,-3.0457574905606752,3.549248556854056,0.19906755017979538,0.10248539648308913,Main sequence
46,100,2778,0.000849,0.112,19.45,red,2.432131876693516,-3.071092309756047,3.4437322414015967,0.11879539672092809,0.09995183945795955,Main sequence
47,103,3496,0.00125,0.336,14.94,red,1.7153011372217981,-2.9030899869919438,3.5435714239623652,0.1947486381638286,0.11675256978071008,Main sequence
48,106,2983,0.00024,0.094,16.09,red,2.1912590082555625,-3.619788758288394,3.474653253362063,0.14231873722567068,0.04508056798282106,Main sequence
49,107,8250,9.25,1.93,-0.98,yellow white,0.18888969358046273,0.9661417327390326,3.916453948549925,0.4784211973076178,0.5036872121707985,White dwarf
50,109,3129,0.0122,0.3761,11.79,red,2.0394295890578196,-1.9136401693252518,3.495405563146193,0.15810617813918704,0.21570048479170842,Main sequence
51,113,3134,0.0004,0.196,13.21,red,2.0344873775170416,-3.3979400086720375,3.496098992132571,0.1586337082919287,0.06726610061963656,Main sequence
52,114,3100,0.008,0.31,11.17,red,2.0684178758010727,-2.0969100130080562,3.4913616938342726,0.15502978093386233,0.19737295711620806,Main sequence
53,115,2799,0.0018,0.16,14.79,red,2.4057944824337834,-2.744727494896694,3.4470028984661623,0.12128356819158981,0.13258928845909906,Main sequence
54,117,7100,0.00029,0.012,14.09,yellow white,0.3601170998717436,-3.537602002101044,3.8512583487190755,0.42882326383141756,0.053299487245884736,White dwarf
55,118,3068,0.0024,0.17,16.12,red,2.1010591303656594,-2.619788758288394,3.4868553552769432,0.15160155754811955,0.14508353250338268,Main sequence
56,119,3180,0.001,0.35,11.76,red,1.989769217366782,-3.0,3.5024271199844326,0.1634478685272791,0.10706128118817826,Main sequence
57,120,3095,0.00019,0.492,10.87,red,2.073472330263588,-3.721246399047171,3.490660653356137,0.15449646029429598,0.03493450313368124,Main sequence
58,121,10980,0.00074,0.0087,11.19,blue white,-0.06260794571090708,-3.1307682802690238,4.040602340114073,0.5728678115262396,0.09398406549602023,White dwarf
59,124,2945,0.00032,0.093,18.34,red,2.2333137363795577,-3.494850021680094,3.4690852991231202,0.13808288350765752,0.05757481202710468,Main sequence
60,125,3324,0.0034,0.34,12.23,red,1.8580159027832204,-2.468521082957745,3.5216610151120733,0.17808016661954307,0.1602107484725814,Main sequence
61,127,2914,0.000631,0.116,18.39,red,2.2684552521829646,-3.1999706407558657,3.4644895474339714,0.13458663855948716,0.08706362429551551,Main sequence
62,128,12912,0.00071,0.00945,12.83,light orange,-0.17044713259175054,-3.1487416512809245,4.110993517377995,0.626418310889779,0.09218667511240225,White dwarf
63,131,10574,0.00014,0.0092,12.02,white,-0.034279164141583496,-3.853871964321762,4.024239306069092,0.5604195377755974,0.02167155343500693,White dwarf
64,132,17200,0.00098,0.015,12.45,blue white,-0.3151733439878161,-3.0087739243075053,4.235528446907549,0.7211589861239287,0.10618386274694874,White dwarf
65,133,2600,0.0003,0.102,18.7,red,2.6728646659264994,-3.5228787452803374,3.4149733479708178,0.09691690051980917,0.05477185657535294,Main sequence
66,135,2994,0.0072,0.28,13.45,red,2.179289726802421,-2.1426675035687315,3.4762517960070336,0.14353483788230736,0.19279707241111893,Main sequence
67,136,3342,0.0015,0.307,11.87,red,1.842369488784114,-2.8239087409443187,3.5240064455573723,0.17986446653396682,0.12467092911990463,Main sequence
68,140,7740,0.00049,0.01234,14.02,white,0.2579524441255198,-3.309803919971486,3.8887409606828927,0.4573383798748156,0.07607997077093887,White dwarf
69,141,2968,0.000461,0.119,17.45,red,2.2077275424439033,-3.336299074610352,3.4724638966069894,0.14065317128294508,0.07343037676162156,Main sequence
70,142,3531,0.00093,0.0976,19.94,red,1.6880191026517315,-3.0315170514460648,3.5478977175630972,0.19803989129692834,0.10390948261062477,Main sequence
71,143,9675,0.00045,0.0109,13.98,blue white,0.03797228700952682,-3.3467874862246565,3.985650973690949,0.5310632384668357,0.0723815045070792,White dwarf
72,146,2856,0.000896,0.0782,19.56,red,2.3363055804686454,-3.0476919903378747,3.455758203104137,0.12794421734774097,0.10229194077050485,Main sequence
73,147,5587,0.819,0.99,5.03,yellow white,0.7043108807951158,-0.08671609823958155,3.7471786713601642,0.34964404119576553,0.3983983078542487,Main sequence
74,148,3462,0.0053,0.148,11.47,red,1.742350382590399,-2.275724130399211,3.539327063539375,0.19151971617439,0.1794910152789649,Main sequence
75,150,7220,0.00017,0.011,14.23,white,0.3394523907763106,-3.769551078621726,3.858537197569639,0.43436069062111216,0.030103891976009933,White dwarf
76,155,3212,0.0016,0.378,12.854,red,1.9594383890717737,-2.795880017344075,3.5067755366066433,0.16675595187822267,0.12747388457165643,Main sequence
77,156,24020,0.00159,0.0127,10.55,blue,-0.4299348687066782,-2.7986028756795487,4.380573003066887,0.831502479644052,0.1272015906661395,White dwarf
78,161,3218,0.000452,0.0987,17.34,red,1.9538205161989868,-3.344861565188618,3.5075860397630105,0.16737254688978886,0.07257410232011557,Main sequence
79,163,4980,0.357,1.13,4.78,yellow,0.9061453020047434,-0.4473317838878068,3.6972293427597176,0.31164479763433794,0.3623356702368112,Main sequence
80,166,8500,0.0005,0.01,14.5,white,0.15835232305071065,-3.3010299956639813,3.929418925714293,0.4882843794332081,0.07695738921216838,White dwarf
81,167,13720,0.00018,0.00892,12.97,white,-0.20554860306464534,-3.744727494896694,4.137354111370733,0.6464722867813588,0.0325863239385375,White dwarf
82,170,3628,0.0055,0.393,10.48,red,1.6152554749358006,-2.2596373105057563,3.5596672783880576,0.20699365345810206,0.1810997449580187,Main sequence
83,171,3463,0.0027,0.675,14.776,red,1.7415469746991628,-2.5686362358410126,3.539452491549461,0.19161513626587512,0.15019893639082538,Main sequence
84,175,11900,0.00067,0.00898,11.38,blue white,-0.11885721898755723,-3.1739251972991736,4.075546961392531,0.5994521363275567,0.08966824585343736,White dwarf
85,176,12990,8.5e-05,0.00984,12.23,yellow white,-0.17405012479953233,-4.070581074285707,4.113609151073028,0.6284081695050987,0.0,White dwarf
86,177,6380,1.35,0.98,2.93,yellow white,0.5019628735976034,0.13033376849500614,3.8048206787211623,0.3934955350687104,0.42010393797650025,Main sequence
87,178,7700,0.00011,0.0128,14.47,yellow white,0.2637948702832353,-3.958607314841775,3.886490725172482,0.4556265000632842,0.011197707892905417,White dwarf
88,179,5936,1.357,1.106,4.46,yellow white,0.608102121861712,0.13257984765973704,3.7734938922709707,0.36966349925017417,0.42032855255152124,Main sequence
89,181,3091,0.0081,0.24,11.43,red,2.077528000532394,-2.0915149811213505,3.490099005063305,0.1540691830740979,0.1979124762985616,Main sequence
90,182,2861,0.00019,0.0899,16.71,red,2.330345344710674,-3.721246399047171,3.4565178578052627,0.12852212909990035,0.03493450313368124,Main sequence
91,183,3432,0.00067,0.19,16.94,red,1.7666777575673236,-3.1739251972991736,3.535547279176668,0.18864422313709373,0.08966824585343736,Main sequence
92,184,2935,0.00087,0.0932,16.88,red,2.2445665159412633,-3.0604807473813813,3.467608105583633,0.13695909989199873,0.10101302715362098,Main sequence
93,185,2817,0.00098,0.0911,16.45,red,2.383539474141579,-3.0087739243075053,3.4497868469857735,0.12340147329308548,0.10618386274694874,Main sequence
94,186,3441,0.039,0.351,11.18,red,1.7593334972929038,-1.408935392973501,3.5366846726209302,0.18950950184503057,0.26617245863457056,Main sequence
95,187,3304,0.0085,0.18,13.2,red,1.8756071622316026,-2.070581074285707,3.5190400386483445,0.17608624346172297,0.2000059290411232,Main sequence
96,188,15680,0.00122,0.0114,11.92,blue,-0.274009341549802,-2.9136401693252516,4.195346058348419,0.6905899992622189,0.11569752027114688,White dwarf
97,189,7723,0.00014,0.00878,14.81,white,0.26042737098601126,-3.853871964321762,3.8877860348383715,0.45661191445944826,0.02167155343500693,White dwarf
98,190,5800,0.81,0.9,5.05,yellow white,0.6441187930239785,-0.09151498112135022,3.7634279935629373,0.3620058079980879,0.3979184053396848,Main sequence
99,191,2840,0.00065,0.11,16.98,red,2.3555228412412768,-3.1870866433571443,3.4533183400470375,0.12608807727216798,0.08835206223026282,Main sequence
100,192,3345,0.021,0.273,12.3,red,1.8397786483391452,-1.6777807052660807,3.524396122103842,0.18016091524337652,0.2392871304078564,Main sequence
101,194,4526,0.153,0.865,6.506,white,1.0948352644285728,-0.8153085691824012,3.65571454961871,0.2800621762023985,0.32553690083260556,Main sequence
102,195,13420,0.00059,0.00981,13.67,blue white,-0.19307013279803042,-3.2291479883578558,4.127752515832973,0.639167816878746,0.08414580303846958,White dwarf
103,196,3323,0.00043,0.0912,17.16,red,1.8588902772632032,-3.3665315444204134,3.521530341278711,0.17798075573735161,0.07040704015583704,Main sequence
104,197,4077,0.085,0.795,6.228,yellow,1.3251382123671094,-1.0705810742857071,3.6103407114521566,0.2455437637208293,0.3000088935616848,Main sequence
105,198,14732,0.00011,0.00892,12.89,white,-0.2434543124487986,-3.958607314841775,4.168261710182875,0.6699854231551474,0.011197707892905417,White dwarf
106,199,5300,0.59,0.91,5.49,yellow white,0.7936136957842551,-0.22914798835785583,3.724275869600789,0.3322206009478461,0.38415469660015433,Main sequence
107,206,3243,0.0023,0.73,14.75,red,1.930643204032195,-2.638272163982407,3.5109469486729727,0.16992937797913177,0.14323513713954517,Main sequence
108,208,8930,0.00056,0.0095,13.78,white,0.11022370796593431,-3.2518119729937998,3.9508514588885464,0.5045893042649618,0.08187933738702674,White dwarf
109,209,13340,0.00109,0.0116,12.9,blue,-0.18963580669328503,-2.962573502059376,4.12515582958053,0.6371923726410773,0.11080404193386334,White dwarf
110,211,3419,0.000245,0.126,17.56,red,1.7773566946746449,-3.6108339156354674,3.5338991007965945,0.18739036180498125,0.04597607879492893,Main sequence
111,212,3453,0.000621,0.0773,17.08,red,1.749602708064927,-3.2069083998234196,3.5381965783494542,0.19065969296130492,0.08636982782163066,Main sequence
112,213,3692,0.00367,0.47,10.8,red,1.569415034498537,-2.4353339357479107,3.5672616923538745,0.2127711482529131,0.16352956157754514,Main sequence
113,215,3523,0.0054,0.319,12.43,red,1.6942055367022268,-2.2676062401770314,3.5469126431812423,0.1972904902056416,0.18030282836683534,Main sequence
114,217,14982,0.00118,0.0113,12.23,blue,-0.25193487974466594,-2.9281179926938745,4.175569792734992,0.6755450896540962,0.11424969501447951,White dwarf
115,220,2650,0.0006,0.14,11.782,red,2.6019045976670827,-3.2218487496163566,3.423245873936808,0.10321027298061702,0.08487574855136282,Main sequence
116,225,12984,0.00088,0.00996,11.23,blue white,-0.17377469833425083,-3.0555173278498313,4.113408506818176,0.6282555282159565,0.10150938382093522,White dwarf
117,226,2831,0.000231,0.0915,16.21,red,2.366430345985345,-3.6363880201078556,3.451939869365103,0.1250393976471802,0.04342059259202197,Main sequence
118,228,21020,0.0015,0.0112,11.52,blue,-0.38967672173492873,-2.8239087409443187,4.322632711692224,0.787424064464989,0.12467092911990463,White dwarf
119,230,2637,0.00073,0.127,17.22,red,2.620089864566428,-3.136677139879544,3.4211101297934343,0.10158549314547383,0.09339316201803238,Main sequence
120,233,16790,0.0014,0.0121,12.87,blue,-0.30489349592001586,-2.853871964321762,4.225050696138049,0.7131879760098387,0.1216745179555685,White dwarf
121,234,1939,0.000138,0.103,20.06,red,3.962386477297412,-3.8601209135987635,3.287577809078705,0.0,0.021046639982168103,Main sequence
122,236,3150,0.0088,0.35,11.94,red,2.0187807708538568,-2.0555173278498313,3.4983105537896004,0.16031616674354865,0.2015123483414968,Main sequence
123,237,2700,0.00018,0.13,16.05,red,2.5336282244263244,-3.744727494896694,3.4313637641589874,0.10938600539586263,0.0325863239385375,Main sequence
124,238,8052,8.7,1.8,2.42,white,0.21456120876976434,0.9395192526186185,3.9059037662166167,0.4703950844581799,0.5010248852358673,White dwarf
125,239,2621,0.0006,0.098,12.81,red,2.642724692535034,-3.2218487496163566,3.4184670209466006,0.0995747326478984,0.08487574855136282,Main sequence
126,0,4015,282000.0,1534.0,-11.39,red,1.3611829313731567,5.450249108319361,3.6036855496146996,0.24048081047024272,0.9521112429573466,Super giant
127,1,17140,883.0,5.653,-2.64,blue white,-0.3137034677351743,2.9459607035775686,4.23401081758718,0.7200044407517185,0.7016749784686993,Giant
128,5,27739,849420.0,1252.0,-7.59,blue white,-0.4666076661186424,5.929122482446255,4.443090800561706,0.8790632593480736,1.0,Super giant
129,9,12675,452000.0,83.0,-5.62,blue,-0.15919332764355149,5.6551384348113825,4.102947968005374,0.6202976121984856,0.9726007830051699,Super giant
130,10,19400,10920.0,6.03,-3.08,blue white,-0.3620886840001787,4.038222638368718,4.2878017299302265,0.7609261915897578,0.8109044099807786,Super giant
131,12,32489,648430.0,1948.5,-10.84,blue,-0.5001742994638078,5.811863099534063,4.511736344119204,0.9312857576705968,0.9882737140909291,Super giant
132,16,11000,170000.0,1779.0,-9.9,blue white,-0.0639431244795154,5.230448921378274,4.041392685158225,0.5734690711361647,0.9301305726610642,Super giant
133,23,9373,424520.0,24.0,-5.99,blue,0.06572560469386461,5.627898155557663,3.971878617026266,0.5205858376692709,0.96987667432543,Super giant
134,25,40000,813000.0,14.0,-6.23,blue,-0.5357504450319914,5.910090545594068,4.6020599913279625,1.0,0.9980967498942132,Super giant
135,26,21738,748890.0,92.0,-7.346,blue,-0.40044229669020376,5.8744180314493475,4.337219584418181,0.798521113114973,0.9945293927278395,Super giant
136,30,20120,4720.0,6.78,-3.4,blue white,-0.37496383916216347,3.6739419986340875,4.30362797638389,0.7729661010441276,0.7744752660898688,Giant
137,31,3365,340000.0,23.0,-6.2,red,1.8226282313498723,5.531478917042255,3.5269850685599957,0.18213047138579874,0.9602344646370742,Super giant
138,32,19923,152000.0,73.0,-5.69,blue,-0.37154451047116976,5.181843587944773,4.299354734958507,0.7697152076633813,0.9252698952262037,Super giant
139,33,14060,1092.0,5.745,-2.04,blue white,-0.21896901497672452,3.0382226383687185,4.147985320683805,0.6545600413790518,0.710901445460217,Giant
140,37,33421,352000.0,67.0,-5.79,blue,-0.5055402607551754,5.546542663478131,4.5240194404102905,0.9406301949379534,0.9617408839374478,Super giant
141,40,3834,272000.0,1183.0,-9.2,red,1.4733736895972354,5.434568904034199,3.5836521085420436,0.22524025312896612,0.9505431760445424,Super giant
142,43,29560,188000.0,6.02,-4.01,blue white,-0.4808793441418165,5.27415784926368,4.4707044297227885,0.9000704890648219,0.9345015950256202,Super giant
143,44,5752,245000.0,97.0,-6.63,blue,0.6572669276458125,5.389166084364533,3.7598188773748262,0.359260151771744,0.9460027594799832,Super giant
144,45,26373,198000.0,39.0,-5.83,blue,-0.454466111676028,5.296665190261531,4.42115953477408,0.8623789207668553,0.9367523958488806,Super giant
145,46,3750,283000.0,1260.0,-7.63,red,1.5292738917044197,5.451786435524291,3.574031267727719,0.21792114226976667,0.9522649802352776,Super giant
146,48,23095,347820.0,86.0,-5.905,blue,-0.4187616321341953,5.5413545507544155,4.363517966582566,0.8185277609946615,0.9612220572848094,Super giant
147,50,25390,223000.0,57.0,-5.92,blue,-0.4448305314134156,5.348304863048161,4.404662700873722,0.8498288579945092,0.9419165162144153,Super giant
148,52,9030,45.0,2.63,1.45,blue white,0.09975575298424043,1.6532125137753437,3.9556877503135057,0.5082685412225016,0.5723963271098872,Giant
149,53,3535,195000.0,1546.0,-11.36,red,1.684936754785532,5.290034611362518,3.5483894181329183,0.1984139553781774,0.9360893183024919,Super giant
150,56,38234,272830.0,1356.0,-9.29,blue,-0.5287476665880574,5.435892123015654,4.582449735817971,0.9850813835479801,0.9506755018653977,Super giant
151,57,3600,320000.0,29.0,-6.6,red,1.6358423584110222,5.505149978319906,3.5563025007672873,0.20443387922440914,0.9576014927121591,Super giant
152,60,37800,202900.0,6.86,-4.56,blue,-0.5269178844292711,5.307282047033346,4.577491799837225,0.9813096047839176,0.9378141129999523,Super giant
153,63,24145,382993.0,1494.0,-8.84,blue white,-0.4313718968392674,5.5831908363990275,4.382827209736365,0.8332173805380454,0.9654058098737996,Super giant
154,65,3614,145000.0,1553.0,-7.71,red,1.6255075840112647,5.161368002234975,3.557988148224913,0.20571624537618272,0.9232222759549291,Super giant
155,66,3625,184000.0,84.0,-6.74,red,1.6174454446331208,5.264817823009537,3.5593080109070123,0.20672033862287886,0.9335675647115061,Super giant
156,70,3459,100000.0,1289.0,-10.7,red,1.7447634884929624,5.0,3.5389505620143615,0.19123329043952797,0.907084997352671,Super giant
157,71,17120,235000.0,83.0,-6.89,blue,-0.3132109361393336,5.371067862271737,4.233503760341135,0.719618693989311,0.9441928836181521,Super giant
158,75,9320,29.0,1.91,1.236,blue white,0.07080259880214601,1.462397997898956,3.9694159123539814,0.5187123207014941,0.5533143098486927,Giant
159,76,21904,748490.0,1130.0,-7.67,blue white,-0.4028193590843673,5.8741860024428245,4.340523430789915,0.8010345335449713,0.9945061891393324,Super giant
160,77,12749,332520.0,76.0,-7.02,blue,-0.16275766222898813,5.5218177718298564,4.105476121121821,0.6222209194525417,0.9592683214751707,Super giant
161,78,10012,552.0,5.856,0.013,blue white,0.00919258197134474,2.741939077729199,4.000520840936185,0.5423755768507554,0.6812722110575575,Giant
162,79,30000,28840.0,6.3,-4.2,blue white,-0.48404248014432216,4.459995256047391,4.477121254719663,0.9049521261714535,0.8530829221022433,Super giant
163,80,3650,310000.0,1324.0,-7.79,red,1.5993097352846783,5.491361693834273,3.5622928644564746,0.2089910833996207,0.956222623387943,Super giant
164,81,3008,280000.0,25.0,-6.0,red,2.164186070871239,5.447158031342219,3.4782778319196046,0.14507615653989792,0.9518021260960712,Super giant
165,82,22350,12450.0,6.36,-3.67,blue white,-0.409011226709498,4.095169351431755,4.349277527467955,0.8076942637385454,0.816599250106784,Super giant
166,84,33750,220000.0,26.0,-6.1,blue,-0.5073572025571663,5.342422680822207,4.528273777167044,0.9438667064815895,0.9413282805539698,Super giant
167,85,6850,229000.0,1467.0,-10.07,red,0.4057064662082945,5.359835482339888,3.8356905714924254,0.41697998635160305,0.943069612326346,Super giant
168,88,3450,174000.0,1284.0,-11.28,red,1.752028844461811,5.2405492482825995,3.537819095073274,0.19037252035350694,0.9311406352941236,Super giant
169,91,30839,834042.0,1194.0,-10.63,blue,-0.48979971411490514,5.921187921032182,4.48910028696896,0.9140652449425275,0.9992065203364222,Super giant
170,93,15276,1136.0,7.2,-1.97,blue white,-0.2615094017856655,3.055378331375,4.18400964970128,0.6819657601510114,0.7126170656192499,Giant
171,94,3553,145000.0,1324.0,-11.03,red,1.6711550990379822,5.161368002234975,3.550595207489328,0.2000920225183762,0.9232222759549291,Super giant
172,97,3399,117000.0,1486.0,-10.92,red,1.7939506833010284,5.068185861746161,3.5313511645830595,0.18545200444423315,0.9139037856656763,Super giant
173,98,7282,131000.0,24.0,-7.22,blue,0.32906625052735416,5.117271295655764,3.862250674597925,0.4371857399663468,0.9188124745714147,Super giant
174,101,13089,788.0,5.992,-0.12,blue white,-0.17855371564096342,2.8965262174895554,4.116906467706483,0.630916622398551,0.6967313833103476,Giant
175,104,12098,689.0,7.01,0.02,blue white,-0.12971476600498766,2.8382192219076257,4.082713580171332,0.6049041834344551,0.6909005108998674,Giant
176,105,11096,112000.0,12.0,-5.91,blue,-0.07027708063483344,5.049218022670182,4.0451664480652285,0.5763399833158536,0.9120069455275295,Super giant
177,108,22012,6748.0,6.64,-2.55,blue white,-0.4043444202787846,3.829175073917088,4.342659504139119,0.8026595638253737,0.7899990338098124,Giant
178,110,12100,120000.0,708.9,-7.84,blue white,-0.12982240572148634,5.079181246047625,4.08278537031645,0.6049587982067868,0.9150033566918655,Super giant
179,112,10930,783930.0,25.0,-6.224,blue,-0.05924607599519809,5.894277284660224,4.038620161949702,0.5713598579068315,0.9965153769220916,Super giant
180,116,9383,342940.0,98.0,-6.98,blue,0.06477481856279946,5.535218143517183,3.972341716325748,0.5209381431670068,0.9606083983695808,Super giant
181,122,3610,132000.0,1522.0,-10.86,red,1.628451899174141,5.12057393120585,3.5575072019056577,0.20535036265388307,0.9191427479171542,Super giant
182,123,3270,150000.0,88.0,-6.02,red,1.9060218346135667,5.176091259055681,3.514547752660286,0.172668710650155,0.9246946452843974,Super giant
183,126,3200,195000.0,17.0,-7.22,red,1.970739241425273,5.290034611362518,3.505149978319906,0.16551929891427308,0.9360893183024919,Super giant
184,129,16787,246730.0,62.0,-6.35,blue,-0.30481619590425824,5.392221958741192,4.224973090428833,0.713128937013142,0.9463083559768517,Super giant
185,130,3749,550000.0,1648.0,-8.05,light orangish red,1.5299550552085364,5.740362689494244,3.5739154404215507,0.2178330259698793,0.9811234611225115,Super giant
186,134,3605,126000.0,1124.0,-10.81,red,1.632141817042322,5.1003705451175625,3.5569052690554477,0.20489243872129714,0.9171223494149721,Super giant
187,137,14245,231000.0,42.0,-6.12,blue,-0.2259692180081884,5.363611979892144,4.153662453575496,0.658878953395019,0.9434472732770762,Super giant
